t,y
1.18000000e+00,2.12286789e+00
1.18100000e+00,2.12356597e+00
1.18200000e+00,2.12426421e+00
1.18300000e+00,2.12496262e+00
1.18400000e+00,2.12566118e+00
1.18500000e+00,2.12635992e+00
1.18600000e+00,2.12705881e+00
1.18700000e+00,2.12775787e+00
1.18800000e+00,2.12845709e+00
1.18900000e+00,2.12915648e+00
1.19000000e+00,2.12985603e+00
1.19100000e+00,2.13055574e+00
1.19200000e+00,2.13125562e+00
1.19300000e+00,2.13195566e+00
1.19400000e+00,2.13265586e+00
1.19500000e+00,2.13335622e+00
1.19600000e+00,2.13405675e+00
1.19700000e+00,2.13475744e+00
1.19800000e+00,2.13545829e+00
1.19900000e+00,2.13615930e+00
1.20000000e+00,2.13686048e+00
1.20100000e+00,2.13756182e+00
1.20200000e+00,2.13826332e+00
1.20300000e+00,2.13896498e+00
1.20400000e+00,2.13966680e+00
1.20500000e+00,2.14036879e+00
1.20600000e+00,2.14107094e+00
1.20700000e+00,2.14177324e+00
1.20800000e+00,2.14247571e+00
1.20900000e+00,2.14317835e+00
1.21000000e+00,2.14388114e+00
1.21100000e+00,2.14458409e+00
1.21200000e+00,2.14528720e+00
1.21300000e+00,2.14599048e+00
1.21400000e+00,2.14669391e+00
1.21500000e+00,2.14739751e+00
1.21600000e+00,2.14810126e+00
1.21700000e+00,2.14880518e+00
1.21800000e+00,2.14950926e+00
1.21900000e+00,2.15021349e+00
1.22000000e+00,2.15091789e+00
1.22100000e+00,2.15162245e+00
1.22200000e+00,2.15232716e+00
1.22300000e+00,2.15303204e+00
1.22400000e+00,2.15373708e+00
1.22500000e+00,2.15444227e+00
1.22600000e+00,2.15514763e+00
1.22700000e+00,2.15585314e+00
1.22800000e+00,2.15655881e+00
1.22900000e+00,2.15726464e+00
1.23000000e+00,2.15797063e+00
1.23100000e+00,2.15867678e+00
1.23200000e+00,2.15938309e+00
1.23300000e+00,2.16008956e+00
1.23400000e+00,2.16079619e+00
1.23500000e+00,2.16150297e+00
1.23600000e+00,2.16220991e+00
1.23700000e+00,2.16291701e+00
1.23800000e+00,2.16362427e+00
1.23900000e+00,2.16433169e+00
1.24000000e+00,2.16503926e+00
1.24100000e+00,2.16574699e+00
1.24200000e+00,2.16645488e+00
1.24300000e+00,2.16716293e+00
1.24400000e+00,2.16787114e+00
1.24500000e+00,2.16857950e+00
1.24600000e+00,2.16928802e+00
1.24700000e+00,2.16999669e+00
1.24800000e+00,2.17070553e+00
1.24900000e+00,2.17141452e+00
1.25000000e+00,2.17212366e+00
1.25100000e+00,2.17283297e+00
1.25200000e+00,2.17354243e+00
1.25300000e+00,2.17425205e+00
1.25400000e+00,2.17496182e+00
1.25500000e+00,2.17567175e+00
1.25600000e+00,2.17638184e+00
1.25700000e+00,2.17709208e+00
1.25800000e+00,2.17780248e+00
1.25900000e+00,2.17851303e+00
1.26000000e+00,2.17922374e+00
1.26100000e+00,2.17993460e+00
1.26200000e+00,2.18064563e+00
1.26300000e+00,2.18135680e+00
1.26400000e+00,2.18206813e+00
1.26500000e+00,2.18277962e+00
1.26600000e+00,2.18349126e+00
1.26700000e+00,2.18420306e+00
1.26800000e+00,2.18491501e+00
1.26900000e+00,2.18562712e+00
1.27000000e+00,2.18633938e+00
1.27100000e+00,2.18705180e+00
1.27200000e+00,2.18776437e+00
1.27300000e+00,2.18847709e+00
1.27400000e+00,2.18918997e+00
1.27500000e+00,2.18990301e+00
1.27600000e+00,2.19061619e+00
1.27700000e+00,2.19132954e+00
1.27800000e+00,2.19204303e+00
1.27900000e+00,2.19275668e+00
1.28000000e+00,2.19347048e+00
1.28100000e+00,2.19418444e+00
1.28200000e+00,2.19489855e+00
1.28300000e+00,2.19561282e+00
1.28400000e+00,2.19632723e+00
1.28500000e+00,2.19704180e+00
1.28600000e+00,2.19775653e+00
1.28700000e+00,2.19847140e+00
1.28800000e+00,2.19918643e+00
1.28900000e+00,2.19990161e+00
1.29000000e+00,2.20061695e+00
1.29100000e+00,2.20133243e+00
1.29200000e+00,2.20204807e+00
1.29300000e+00,2.20276387e+00
1.29400000e+00,2.20347981e+00
1.29500000e+00,2.20419591e+00
1.29600000e+00,2.20491215e+00
1.29700000e+00,2.20562855e+00
1.29800000e+00,2.20634511e+00
1.29900000e+00,2.20706181e+00
1.30000000e+00,2.20777867e+00
1.30100000e+00,2.20849567e+00
1.30200000e+00,2.20921283e+00
1.30300000e+00,2.20993014e+00
1.30400000e+00,2.21064760e+00
1.30500000e+00,2.21136521e+00
1.30600000e+00,2.21208298e+00
1.30700000e+00,2.21280089e+00
1.30800000e+00,2.21351896e+00
1.30900000e+00,2.21423717e+00
1.31000000e+00,2.21495554e+00
1.31100000e+00,2.21567406e+00
1.31200000e+00,2.21639272e+00
1.31300000e+00,2.21711154e+00
1.31400000e+00,2.21783051e+00
1.31500000e+00,2.21854963e+00
1.31600000e+00,2.21926890e+00
1.31700000e+00,2.21998831e+00
1.31800000e+00,2.22070788e+00
1.31900000e+00,2.22142760e+00
1.32000000e+00,2.22214747e+00
1.32100000e+00,2.22286748e+00
1.32200000e+00,2.22358765e+00
1.32300000e+00,2.22430796e+00
1.32400000e+00,2.22502843e+00
1.32500000e+00,2.22574904e+00
1.32600000e+00,2.22646981e+00
1.32700000e+00,2.22719072e+00
1.32800000e+00,2.22791178e+00
1.32900000e+00,2.22863299e+00
1.33000000e+00,2.22935435e+00
1.33100000e+00,2.23007585e+00
1.33200000e+00,2.23079751e+00
1.33300000e+00,2.23151931e+00
1.33400000e+00,2.23224126e+00
1.33500000e+00,2.23296336e+00
1.33600000e+00,2.23368561e+00
1.33700000e+00,2.23440800e+00
1.33800000e+00,2.23513055e+00
1.33900000e+00,2.23585324e+00
1.34000000e+00,2.23657608e+00
1.34100000e+00,2.23729906e+00
1.34200000e+00,2.23802220e+00
1.34300000e+00,2.23874548e+00
1.34400000e+00,2.23946891e+00
1.34500000e+00,2.24019248e+00
1.34600000e+00,2.24091620e+00
1.34700000e+00,2.24164007e+00
1.34800000e+00,2.24236409e+00
1.34900000e+00,2.24308825e+00
1.35000000e+00,2.24381256e+00
1.35100000e+00,2.24453702e+00
1.35200000e+00,2.24526162e+00
1.35300000e+00,2.24598637e+00
1.35400000e+00,2.24671127e+00
1.35500000e+00,2.24743631e+00
1.35600000e+00,2.24816149e+00
1.35700000e+00,2.24888683e+00
1.35800000e+00,2.24961231e+00
1.35900000e+00,2.25033793e+00
1.36000000e+00,2.25106370e+00
1.36100000e+00,2.25178962e+00
1.36200000e+00,2.25251568e+00
1.36300000e+00,2.25324189e+00
1.36400000e+00,2.25396824e+00
1.36500000e+00,2.25469474e+00
1.36600000e+00,2.25542138e+00
1.36700000e+00,2.25614817e+00
1.36800000e+00,2.25687510e+00
1.36900000e+00,2.25760218e+00
1.37000000e+00,2.25832940e+00
1.37100000e+00,2.25905677e+00
1.37200000e+00,2.25978428e+00
1.37300000e+00,2.26051193e+00
1.37400000e+00,2.26123973e+00
1.37500000e+00,2.26196768e+00
1.37600000e+00,2.26269576e+00
1.37700000e+00,2.26342400e+00
1.37800000e+00,2.26415237e+00
1.37900000e+00,2.26488089e+00
1.38000000e+00,2.26560956e+00
1.38100000e+00,2.26633836e+00
1.38200000e+00,2.26706731e+00
1.38300000e+00,2.26779641e+00
1.38400000e+00,2.26852565e+00
1.38500000e+00,2.26925503e+00
1.38600000e+00,2.26998455e+00
1.38700000e+00,2.27071422e+00
1.38800000e+00,2.27144403e+00
1.38900000e+00,2.27217398e+00
1.39000000e+00,2.27290408e+00
1.39100000e+00,2.27363432e+00
1.39200000e+00,2.27436470e+00
1.39300000e+00,2.27509522e+00
1.39400000e+00,2.27582589e+00
1.39500000e+00,2.27655669e+00
1.39600000e+00,2.27728764e+00
1.39700000e+00,2.27801874e+00
1.39800000e+00,2.27874997e+00
1.39900000e+00,2.27948135e+00
1.40000000e+00,2.28021286e+00
1.40100000e+00,2.28094452e+00
1.40200000e+00,2.28167633e+00
1.40300000e+00,2.28240827e+00
1.40400000e+00,2.28314035e+00
1.40500000e+00,2.28387258e+00
1.40600000e+00,2.28460495e+00
1.40700000e+00,2.28533745e+00
1.40800000e+00,2.28607010e+00
1.40900000e+00,2.28680289e+00
1.41000000e+00,2.28753583e+00
